,zcta,population,sdi_score,black_score,hisp_score,top_deprived_quartile
306,02021,22276,17.0,56.0,30.0,0.0
307,02025,8281,8.0,1.0,3.0,0.0
308,02026,25224,20.0,58.0,44.0,0.0
309,02030,5814,1.0,43.0,23.0,0.0
310,02032,4080,9.0,46.0,9.0,0.0
311,02035,17243,18.0,32.0,21.0,0.0
312,02038,32731,8.0,16.0,18.0,0.0
313,02043,22733,4.0,8.0,7.0,0.0
314,02045,10403,19.0,9.0,24.0,0.0
315,02047,151,34.0,1.0,1.0,0.0
316,02048,23482,13.0,31.0,28.0,0.0
317,02050,25786,12.0,6.0,9.0,0.0
318,02052,12368,2.0,4.0,27.0,0.0
319,02053,13069,3.0,29.0,19.0,0.0
320,02054,8051,4.0,6.0,32.0,0.0
321,02056,11427,5.0,52.0,38.0,0.0
322,02061,10740,4.0,8.0,7.0,0.0
323,02062,28962,33.0,44.0,38.0,0.0
324,02066,17880,4.0,13.0,12.0,0.0
325,02067,17837,2.0,47.0,22.0,0.0
326,02071,1837,14.0,81.0,61.0,0.0
327,02072,28110,32.0,74.0,26.0,0.0
328,02081,19270,7.0,24.0,17.0,0.0
329,02090,15094,3.0,9.0,18.0,0.0
330,02093,11287,7.0,15.0,7.0,0.0
331,02108,4183,30.0,52.0,29.0,0.0
332,02109,3947,53.0,40.0,31.0,0.0
333,02110,2048,33.0,43.0,26.0,0.0
334,02111,7537,80.0,38.0,39.0,1.0
335,02113,7221,44.0,11.0,31.0,0.0
336,02114,12882,51.0,42.0,51.0,0.0
337,02115,28536,85.0,63.0,61.0,1.0
338,02116,22433,49.0,56.0,45.0,0.0
339,02118,27526,88.0,78.0,73.0,1.0
340,02119,26259,97.0,96.0,81.0,1.0
341,02120,15500,96.0,83.0,74.0,1.0
342,02121,28051,99.0,97.0,79.0,1.0
343,02122,24880,92.0,89.0,56.0,1.0
344,02124,53227,91.0,96.0,66.0,1.0
345,02125,35379,94.0,86.0,73.0,1.0
346,02126,27835,91.0,99.0,66.0,1.0
347,02127,36494,73.0,51.0,57.0,1.0
348,02128,44989,95.0,35.0,93.0,1.0
349,02129,18058,73.0,64.0,58.0,1.0
350,02130,39257,66.0,70.0,77.0,1.0
351,02131,31890,73.0,83.0,77.0,1.0
352,02132,28506,22.0,52.0,46.0,0.0
353,02134,18238,77.0,58.0,67.0,1.0
354,02135,38682,70.0,44.0,58.0,1.0
355,02136,31052,70.0,92.0,80.0,1.0
356,02138,37252,38.0,54.0,44.0,0.0
357,02139,36422,58.0,71.0,48.0,0.0
358,02140,18384,57.0,79.0,49.0,0.0
359,02141,13055,61.0,64.0,61.0,1.0
360,02142,2935,58.0,41.0,56.0,0.0
361,02143,26267,62.0,38.0,51.0,1.0
362,02144,24930,51.0,53.0,39.0,0.0
363,02145,25291,77.0,72.0,66.0,1.0
364,02148,60725,74.0,75.0,57.0,1.0
365,02149,43717,84.0,79.0,75.0,1.0
366,02150,37567,96.0,53.0,95.0,1.0
367,02151,53109,79.0,48.0,79.0,1.0
368,02152,17962,38.0,14.0,50.0,0.0
369,02155,59166,44.0,65.0,41.0,0.0
370,02163,2361,55.0,56.0,61.0,0.0
371,02169,55706,64.0,56.0,33.0,1.0
372,02170,19860,48.0,22.0,7.0,0.0
373,02171,17611,51.0,52.0,13.0,0.0
374,02176,27681,17.0,37.0,27.0,0.0
375,02180,21752,19.0,23.0,26.0,0.0
376,02184,36905,26.0,48.0,19.0,0.0
377,02186,27303,10.0,76.0,34.0,0.0
378,02188,14911,35.0,59.0,21.0,0.0
379,02189,15161,56.0,42.0,34.0,0.0
380,02190,16880,19.0,41.0,16.0,0.0
381,02191,8352,16.0,5.0,4.0,0.0
382,02199,1173,31.0,18.0,22.0,0.0
383,02203,0,0.0,0.0,0.0,0.0
384,02210,2179,28.0,40.0,5.0,0.0
385,02215,24521,71.0,44.0,60.0,1.0
386,02301,59775,90.0,93.0,56.0,1.0
387,02302,34757,71.0,89.0,58.0,1.0
388,02322,4453,24.0,69.0,31.0,0.0
389,02324,27243,20.0,62.0,30.0,0.0
390,02330,11562,8.0,33.0,5.0,0.0
391,02332,15297,3.0,15.0,4.0,0.0
392,02333,14113,6.0,8.0,8.0,0.0
393,02338,7684,4.0,1.0,28.0,0.0
394,02339,14226,11.0,11.0,5.0,0.0
395,02341,10372,11.0,31.0,14.0,0.0
396,02343,10975,15.0,63.0,54.0,0.0
397,02346,23708,17.0,35.0,10.0,0.0
398,02347,11098,6.0,8.0,18.0,0.0
399,02351,16112,14.0,26.0,16.0,0.0
400,02356,12690,3.0,39.0,19.0,0.0
401,02357,1282,24.0,56.0,32.0,0.0
402,02359,18081,7.0,9.0,26.0,0.0
403,02360,57658,15.0,29.0,15.0,0.0
404,02364,12958,16.0,30.0,19.0,0.0
405,02366,190,11.0,85.0,82.0,0.0
406,02367,2868,5.0,1.0,13.0,0.0
407,02368,33409,59.0,93.0,44.0,0.0
408,02370,17663,23.0,42.0,9.0,0.0
409,02375,9611,12.0,59.0,21.0,0.0
410,02379,7008,17.0,36.0,37.0,0.0
411,02382,14715,24.0,12.0,6.0,0.0
412,02420,14414,2.0,14.0,6.0,0.0
413,02421,18286,13.0,23.0,17.0,0.0
414,02445,20785,43.0,43.0,36.0,0.0
415,02446,29099,41.0,29.0,46.0,0.0
416,02451,18140,40.0,56.0,55.0,0.0
417,02452,15232,37.0,59.0,46.0,0.0
418,02453,29066,67.0,52.0,72.0,1.0
419,02457,1642,1.0,64.0,55.0,0.0
420,02458,12781,21.0,45.0,39.0,0.0
421,02459,19104,7.0,43.0,30.0,0.0
422,02460,9477,10.0,45.0,24.0,0.0
423,02461,7278,13.0,43.0,33.0,0.0
424,02462,1389,16.0,29.0,26.0,0.0
425,02464,2901,15.0,21.0,36.0,0.0
426,02465,11618,6.0,52.0,43.0,0.0
427,02466,8572,33.0,43.0,45.0,0.0
428,02467,23520,17.0,46.0,44.0,0.0
429,02468,5713,1.0,28.0,32.0,0.0
430,02472,33350,37.0,39.0,59.0,0.0
431,02474,27346,24.0,32.0,24.0,0.0
432,02476,16782,15.0,26.0,28.0,0.0
433,02478,25337,14.0,29.0,38.0,0.0
434,02481,16342,2.0,26.0,30.0,0.0
435,02482,10848,4.0,30.0,29.0,0.0
436,02492,20067,2.0,22.0,16.0,0.0
437,02493,11850,1.0,29.0,25.0,0.0
438,02494,9786,10.0,43.0,25.0,0.0
439,02532,11972,16.0,38.0,13.0,0.0
440,02534,913,12.0,43.0,42.0,0.0
441,02535,1511,18.0,43.0,20.0,0.0
442,02536,19344,20.0,55.0,9.0,0.0
443,02537,6500,12.0,4.0,6.0,0.0
444,02538,3009,53.0,26.0,1.0,0.0
445,02539,4217,18.0,40.0,8.0,0.0
446,02540,8526,24.0,31.0,7.0,0.0
447,02542,869,37.0,57.0,77.0,0.0
448,02543,843,22.0,1.0,10.0,0.0
449,02553,237,21.0,1.0,1.0,0.0
450,02554,10287,36.0,66.0,57.0,0.0
451,02556,2852,9.0,11.0,38.0,0.0
452,02557,4626,11.0,33.0,1.0,0.0
453,02558,1322,37.0,22.0,1.0,0.0
454,02559,4366,11.0,35.0,11.0,0.0
455,02561,478,17.0,1.0,1.0,0.0
456,02562,3139,8.0,10.0,17.0,0.0
457,02563,9721,7.0,1.0,12.0,0.0
458,02564,260,39.0,45.0,33.0,0.0
459,02568,4055,57.0,54.0,3.0,0.0
460,02571,11229,59.0,38.0,18.0,0.0
461,02575,2564,3.0,19.0,6.0,0.0
462,02576,4763,12.0,27.0,13.0,0.0
463,02584,9,1.0,1.0,1.0,0.0
464,02601,14371,77.0,69.0,55.0,1.0
465,02630,2224,24.0,34.0,1.0,0.0
466,02631,9761,7.0,21.0,10.0,0.0
467,02632,10454,11.0,8.0,15.0,0.0
468,02633,3849,16.0,43.0,25.0,0.0
469,02635,3435,2.0,8.0,15.0,0.0
470,02637,117,15.0,1.0,1.0,0.0
471,02638,3489,11.0,1.0,32.0,0.0
472,02639,2550,33.0,42.0,1.0,0.0
473,02641,265,1.0,1.0,1.0,0.0
474,02642,4896,10.0,22.0,8.0,0.0
475,02643,9,10.0,1.0,1.0,0.0
476,02644,4347,2.0,1.0,31.0,0.0
477,02645,9354,18.0,34.0,12.0,0.0
478,02646,2057,10.0,1.0,4.0,0.0
479,02647,113,1.0,1.0,1.0,0.0
480,02648,6413,2.0,12.0,7.0,0.0
481,02649,14027,11.0,34.0,25.0,0.0
482,02650,1222,3.0,33.0,1.0,0.0
483,02651,27,1.0,1.0,1.0,0.0
484,02652,886,10.0,1.0,18.0,0.0
485,02653,5904,7.0,12.0,13.0,0.0
486,02655,3584,8.0,17.0,17.0,0.0
487,02657,2962,57.0,36.0,49.0,0.0
488,02659,801,4.0,1.0,5.0,0.0
489,02660,6381,19.0,45.0,15.0,0.0
490,02663,125,11.0,1.0,1.0,0.0
491,02664,9407,32.0,25.0,9.0,0.0
492,02666,758,29.0,1.0,25.0,0.0
493,02667,2984,35.0,21.0,2.0,0.0
494,02668,3192,15.0,1.0,1.0,0.0
495,02669,254,1.0,78.0,1.0,0.0
496,02670,1362,38.0,11.0,16.0,0.0
497,02671,851,23.0,1.0,32.0,0.0
498,02672,155,5.0,1.0,1.0,0.0
499,02673,8297,19.0,37.0,18.0,0.0
500,02675,6410,14.0,14.0,11.0,0.0
501,02702,4730,15.0,13.0,11.0,0.0
502,02703,43953,46.0,42.0,41.0,0.0
503,02713,60,5.0,1.0,1.0,0.0
504,02715,3269,20.0,6.0,4.0,0.0
505,02717,4301,10.0,8.0,15.0,0.0
506,02718,6275,26.0,24.0,24.0,0.0
507,02719,16027,38.0,6.0,6.0,0.0
508,02720,30546,83.0,41.0,45.0,1.0
509,02721,25926,96.0,38.0,59.0,1.0
510,02723,14333,95.0,59.0,49.0,1.0
511,02724,17173,92.0,38.0,58.0,1.0
512,02725,2399,35.0,1.0,16.0,0.0
513,02726,15872,29.0,5.0,3.0,0.0
514,02738,4979,18.0,27.0,7.0,0.0
515,02739,6176,7.0,16.0,3.0,0.0
516,02740,43797,90.0,63.0,70.0,1.0
517,02743,10384,34.0,4.0,22.0,0.0
518,02744,11210,96.0,55.0,80.0,1.0
519,02745,24731,72.0,34.0,52.0,1.0
520,02746,14850,100.0,70.0,83.0,1.0
521,02747,23024,39.0,44.0,27.0,0.0
522,02748,12032,34.0,9.0,4.0,0.0
523,02760,26986,22.0,37.0,21.0,0.0
524,02762,8735,6.0,14.0,2.0,0.0
525,02763,1877,4.0,43.0,14.0,0.0
526,02764,3962,10.0,5.0,7.0,0.0
527,02766,19362,9.0,22.0,6.0,0.0
528,02767,13765,20.0,44.0,20.0,0.0
529,02769,11835,3.0,7.0,5.0,0.0
530,02770,5150,6.0,22.0,15.0,0.0
531,02771,14371,13.0,11.0,21.0,0.0
532,02777,16132,12.0,7.0,5.0,0.0
533,02779,6547,15.0,8.0,23.0,0.0
534,02780,49836,71.0,55.0,46.0,1.0
535,02790,16016,16.0,7.0,2.0,0.0
536,02791,177,6.0,1.0,1.0,0.0
537,02802,1079,43.0,1.0,45.0,0.0
538,02804,2228,8.0,1.0,1.0,0.0
539,02806,16280,2.0,15.0,14.0,0.0
540,02807,906,20.0,16.0,13.0,0.0
541,02808,2228,31.0,62.0,36.0,0.0
542,02809,22364,35.0,32.0,19.0,0.0
543,02812,1669,1.0,61.0,15.0,0.0
544,02813,7772,16.0,6.0,12.0,0.0
545,02814,7328,14.0,11.0,13.0,0.0
546,02815,130,1.0,1.0,1.0,0.0
547,02816,32695,27.0,14.0,10.0,0.0
548,02817,6117,10.0,21.0,26.0,0.0
549,02818,18065,10.0,23.0,23.0,0.0
550,02822,6470,15.0,24.0,30.0,0.0
551,02825,5235,10.0,12.0,1.0,0.0
552,02826,690,26.0,1.0,1.0,0.0
553,02827,2033,5.0,1.0,1.0,0.0
554,02828,7492,16.0,26.0,17.0,0.0
555,02830,6314,36.0,11.0,13.0,0.0
556,02831,3191,8.0,4.0,12.0,0.0
557,02832,5006,20.0,30.0,5.0,0.0
558,02833,625,32.0,1.0,35.0,0.0
559,02835,5464,5.0,1.0,7.0,0.0
560,02836,93,3.0,1.0,1.0,0.0
561,02837,3504,10.0,20.0,8.0,0.0
562,02838,3878,66.0,24.0,72.0,1.0
563,02839,1445,22.0,1.0,1.0,0.0
564,02840,23171,64.0,54.0,57.0,1.0
565,02841,1293,1.0,70.0,14.0,0.0
566,02842,16052,39.0,53.0,41.0,0.0
567,02852,22358,31.0,27.0,24.0,0.0
568,02857,9672,8.0,8.0,5.0,0.0
569,02858,662,16.0,1.0,1.0,0.0
570,02859,7059,47.0,10.0,6.0,0.0
571,02860,45372,95.0,81.0,80.0,1.0
572,02861,26225,63.0,62.0,62.0,1.0
573,02863,19378,99.0,68.0,95.0,1.0
574,02864,34003,25.0,11.0,33.0,0.0
575,02865,16513,24.0,34.0,32.0,0.0
576,02871,17127,23.0,17.0,22.0,0.0
577,02872,234,16.0,1.0,1.0,0.0
578,02873,218,5.0,1.0,1.0,0.0
579,02874,6621,4.0,18.0,15.0,0.0
580,02875,426,14.0,1.0,1.0,0.0
